Condition,Columna,Valor
EGFP,Entry,0.03
EGFP,Entry,0.094291851
EGFP,Entry,0.146
EGFP,Entry,0.230420247
EGFP,Entry,0.203988284
EGFP,Entry,0.195869461
EGFP,Entry,0.188073784
EGFP,Entry,0.134230256
EGFP,Entry,0.257078677
EGFP,Entry,0.257078677
EGFP,Entry,0.257078677
EGFP(PIC),Entry,0.905073285
EGFP(PIC),Entry,0.555932462
EGFP(PIC),Entry,0.533806086
EGFP(PIC),Entry,0.435703605
EGFP(PIC),Entry,0.125297815
EGFP(PIC),Entry,0.166499466
EGFP(PIC),Entry,0.065422609
EGFP(PIC),Entry,0.06813439
EGFP(PIC),Entry,0.07095857
EGFP(PIC),Entry,0.012729718
EGFP(PIC),Entry,0.015595927
EGFP(PIC),Entry,0.032396924
EGFP(PIC),Entry,0.032396924
EGFP(PIC),Entry,0.035138298
EGFP(PIC),Entry,0.036889873
EGFP,Exit,0.01
EGFP,Exit,0.14153339
EGFP,Exit,0.065422609
EGFP,Exit,0.057917852
EGFP,Exit,0.057917852
EGFP,Exit,0.057917852
EGFP,Exit,0.080153085
EGFP,Exit,0.076962963
EGFP,Exit,0.012888098
EGFP,Exit,0.020982176
EGFP,Exit,0.019345216
EGFP,Exit,0.332098514
EGFP,Exit,0.171269998
EGFP,Exit,0.16
EGFP,Exit,0.157908067
EGFP,Exit,0.157908067
EGFP,Exit,0.025706498
EGFP,Exit,0.025706498
EGFP(PIC),Exit,0.653997242
EGFP(PIC),Exit,0.08
EGFP(PIC),Exit,0.03415956
EGFP(PIC),Exit,0.221113577
EGFP(PIC),Exit,0.03265816
